rank_test_score,param_ridge__alpha,mean_test_score,std_test_score
1,24.658329458549105,-3.0836565209367364,0.14189204764017843
2,98.77700294007911,-3.0838249153836252,0.14384395927577057
3,17.71884735480682,-3.0838751368308004,0.14189378875335423
4,4.0428727350273315,-3.084918847857743,0.14260091893049054
5,3.907967156822881,-3.084943796758824,0.14262700415018784
6,157.41890047456639,-3.0851841823251416,0.14595760632914845
7,1.40779231399724,-3.0856216174493984,0.14340001500324473
8,0.3905441275210791,-3.0861061383736446,0.1440000636886874
9,0.1767016940294795,-3.0862335441888398,0.1441594038932285
10,0.06690421166498801,-3.086303026126131,0.1442465881349173
